data_extracao;descricao;estado;complemento;implantacao;logradouro_nome;num_inicial;num_final;defronte;cruzamento_nome;lado;fluxo;local_de_instal;latitude;longitude
2025-05-01 01:32:36.040;marcacao de cruzamento rodocicloviario;INSTALADO;- 20MX2,40M - PINTURA EM VERMELHO - SOBRE A PONTE;2012-11-05;AV BORGES DE MEDEIROS;2500.0;2500.0;NÃO;AV IPIRANGA;NULO;CRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.043;marcacao de cruzamento rodocicloviario;INSTALADO;"11MX02M - INTERIOR VERMELHO R BORDO TRACEJADO EM BRANCO ATRAVESSANDO A VIA JUNTO COM"" FTP""";2013-05-28;R JOSE DO PATROCINIO;1052.0;1052.0;NÃO;AV VENANCIO AIRES;NULO;CRESCENTE;LEITO DA VIA     ;-30.043289994795032;-51.21975738555194
2025-05-01 01:32:36.043;marcacao de cruzamento rodocicloviario;INSTALADO;CRUZANDO A JOSE DO P.;2013-05-28;AV LOUREIRO DA SILVA;1570.0;1571.0;SIM;R JOSE DO PATROCINIO;IMPAR;CRESCENTE;LEITO DA VIA     ;-30.03737607345633;-51.22582990676165
2025-05-01 01:32:36.043;marcacao de cruzamento rodocicloviario;INSTALADO; INTERIOR VERMELHO R BORDO TRACEJADO EM BRANCO 19M - (39TJ - 0,40 X 0,40);2013-05-21;R JOSE DO PATROCINIO;366.0;366.0;NÃO;R SARMENTO LEITE;PAR;DECRESCENTE;LEITO DA VIA     ;-30.03844882508938;-51.22455367818476
2025-05-01 01:32:36.043;marcacao de cruzamento rodocicloviario;INSTALADO;- 14MX2,40M (INTERIOR VERMELHO COM BORDO TRACEJADO EM BRANCO);2013-05-22;R JOSE DO PATROCINIO;672.0;698.0;NÃO;R ALBERTO TORRES;PAR;CRESCENTE;LEITO DA VIA     ;-30.040708067056627;-51.22219869866968
2025-05-01 01:32:36.043;marcacao de cruzamento rodocicloviario;INSTALADO;12M  INTERIOR VERMELHO COM BORDO TRACEJADO EM BRANCO;2013-05-27;R JOSE DO PATROCINIO;834.0;874.0;NÃO;R JOAQUIM NABUCO;PAR;CRESCENTE;LEITO DA VIA     ;-30.04193805046046;-51.22089914932987
2025-05-01 01:32:36.052;marcacao de ciclofaixa ao longo da via;INSTALADO;48 METROS - INTERIOR VERMELHO E BORDO BRANCO;2013-03-28;R DONA ADDA MASCARENHAS DE MORAES;85.0;105.0;NÃO;R OSCAR ALLEM;IMPAR;CRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.052;marcacao de ciclofaixa ao longo da via;INSTALADO;65 METROS - INTERIOR VERMELHO E BORDO BRANCO;2013-03-28;R DONA ADDA MASCARENHAS DE MORAES;140.0;180.0;NÃO;R COPERNICO;PAR;DECRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.052;marcacao de ciclofaixa ao longo da via;INSTALADO;65 METROS - INTERIOR VERMELHO E BORDO BRANCO;2013-03-28;R DONA ADDA MASCARENHAS DE MORAES;185.0;209.0;NÃO;R OSCAR ALLEM;IMPAR;CRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.052;marcacao de ciclofaixa ao longo da via;INSTALADO;114 METROS - INTERIOR VERMELHO E BORDO BRANCO;2013-01-25;R DONA ADDA MASCARENHAS DE MORAES;529.0;577.0;NÃO;R CAPITAO SALUSTIANO DE VARGAS;IMPAR;CRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.052;marcacao de cruzamento rodocicloviario;INSTALADO;14 METROS - VERMELHA E BORDO BRANCO TRACEJADO, ENTRE OS CANTEIROS.;2013-01-25;R DONA ADDA MASCARENHAS DE MORAES;323.0;335.0;NÃO;R CONGONHAS;IMPAR;CRESCENTE;LEITO DA VIA     ;-30.01335570311062;-51.13570843823255
2025-05-01 01:32:36.052;marcacao de ciclofaixa ao longo da via;INSTALADO;72 METROS - INTERIOR VERMELHO E BORDO BRANCO;2013-01-25;R DONA ADDA MASCARENHAS DE MORAES;790.0;826.0;NÃO;R NILTON WALDEMAR STOCK;PAR;DECRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.052;marcacao de cruzamento rodocicloviario;INSTALADO;22 METROS - VERMELHA E BORDO BRANCO TRACEJADO;2013-01-25;R DONA ADDA MASCARENHAS DE MORAES;865.0;865.0;NÃO;AV SENADOR DANIEL KRIEGER;IMPAR;CRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.052;marcacao de cruzamento rodocicloviario;INSTALADO;18 METROS - VERMELHA E BORDO BRANCO TRACEJADO;2013-01-25;R DONA ADDA MASCARENHAS DE MORAES;694.0;694.0;NÃO;R AZUL;PAR;DECRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.052;marcacao de ciclofaixa ao longo da via;INSTALADO;160 METROS - VERMELHA E BORDO BRANCO TRACEJADO;2013-01-25;R DONA ADDA MASCARENHAS DE MORAES;1083.0;1167.0;NÃO;AV KARL IWERS;IMPAR;CRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.043;marcacao de cruzamento rodocicloviario;INSTALADO;- 16M  INTERIOR VERMELHO COM BORDO TRACEJADO EM BRANCO;2013-05-22;R JOSE DO PATROCINIO;412.0;452.0;NÃO;R REPUBLICA;PAR;CRESCENTE;LEITO DA VIA     ;-30.0389480453742;-51.22398370876909
2025-05-01 01:32:36.045;marcacao de ciclofaixa ao longo da via;INSTALADO;65 M ENTRE SARM.LEITE E REPUBLICA;2013-06-28;R JOSE DO PATROCINIO;366.0;412.0;NÃO;R REPUBLICA;PAR;CRESCENTE;LEITO DA VIA     ;-30.0389329527048;-51.223976186010994
2025-05-01 01:32:36.045;marcacao de ciclofaixa ao longo da via;INSTALADO;- 55M DE CICLO VIA - (SOBRE O CANTEIRO, EM FRENTE AO THEATRO RENASCENÇA);2015-11-20;AV ERICO VERISSIMO;307.0;307.0;NÃO;AV IPIRANGA;IMPAR;CRESCENTE;CANTEIRO CENTRAL ;-30.04757603201579;-51.21834168210626
2025-05-01 01:32:36.043;marcacao de cruzamento rodocicloviario;INSTALADO;14M  INTERIOR VERMELHO COM BORDO TRACEJADO EM BRANCO;2013-05-27;R JOSE DO PATROCINIO;1002.0;1052.0;NÃO;AV VENANCIO AIRES;PAR;CRESCENTE;LEITO DA VIA     ;-30.04310656869588;-51.21975847519935
2025-05-01 01:32:36.045;marcacao de ciclofaixa ao longo da via;INSTALADO;170 METROS ENTRE L.DA SILVA E SARM.LEITE;2013-06-28;R JOSE DO PATROCINIO;210.0;344.0;NÃO;R SARMENTO LEITE;PAR;CRESCENTE;LEITO DA VIA     ;-30.037401615296844;-51.22582556912677
2025-05-01 01:32:36.045;marcacao de ciclofaixa ao longo da via;INSTALADO;100M ENTRE ALB.TORRES E LOPO GONÇALVES;2013-06-28;R JOSE DO PATROCINIO;698.0;778.0;NÃO;R LOPO GONCALVES;PAR;CRESCENTE;LEITO DA VIA     ;-30.040723695815963;-51.22222723619462
2025-05-01 01:32:36.045;marcacao de ciclofaixa ao longo da via;INSTALADO;- 75MX2,50M -  ENTRE LOPO GONÇALVES E JOAQUIM NABUCO;2013-06-28;R JOSE DO PATROCINIO;800.0;834.0;NÃO;R JOAQUIM NABUCO;PAR;CRESCENTE;LEITO DA VIA     ;-30.04168781497539;-51.22125039674757
2025-05-01 01:32:36.045;marcacao de ciclofaixa ao longo da via;INSTALADO;150M ENTRE  INTERIOR VERMELHO COM BORDO BRANCO ;2013-06-28;R JOSE DO PATROCINIO;874.0;1002.0;NÃO;AV VENANCIO AIRES;PAR;CRESCENTE;LEITO DA VIA     ;-30.043248201536493;-51.21977452654392
2025-05-01 01:32:36.046;marcacao de ciclofaixa ao longo da via;INSTALADO;- MCI - 100M;2019-07-10;R JOAQUIM SILVEIRA;229.0;251.0;SIM;AV ASSIS BRASIL;PAR;DECRESCENTE;CALCADA          ;-30.007958112029208;-51.14306658328134
2025-05-01 01:32:36.045;marcacao de ciclofaixa ao longo da via;INSTALADO;- 210M DE CICLO VIA - (SOBRE O CANTEIRO, EM FRENTE AO ATENDIMENTO AO CIDADÃO EPTC);2015-11-20;AV ERICO VERISSIMO;100.0;100.0;NÃO;PCA GARIBALDI;PAR;DECRESCENTE;CANTEIRO CENTRAL ;-30.045233361845124;-51.21926436200739
2025-05-01 01:32:36.048;marcacao de cruzamento rodocicloviario;INSTALADO;- 8,50MX2,40M - LIGANDO DE QUEM VEM DO CANTEIRO CENTRAL PARA ACESSAR A PÇA GARIBALDI.;2015-11-20;AV ERICO VERISSIMO;100.0;100.0;NÃO;PCA GARIBALDI;PAR;DECRESCENTE;LEITO DA VIA     ;-30.04412353443553;-51.22034856118263
2025-05-01 01:32:36.052;marcacao de cruzamento rodocicloviario;INSTALADO;13 METROS - VERMELHA E BORDO BRANCO TRACEJADO, ENTRE OS CANTEIROS.;2013-03-28;R DONA ADDA MASCARENHAS DE MORAES;141;141.0;NÃO;R COPERNICO;IMPAR;CRESCENTE;LEITO DA VIA     ;-30.01140358191253;-51.13545899279416
2025-05-01 01:32:36.052;marcacao de cruzamento rodocicloviario;INSTALADO;15 METROS - INTERIOR VERMELHO E BORDO BRANCO, ENTRE OS CANTEIROS.;2013-01-25;R DONA ADDA MASCARENHAS DE MORAES;356;356.0;NÃO;AV BISPO JOAO SCALABRINI;PAR;DECRESCENTE;LEITO DA VIA     ;-30.014083238750317;-51.13576891366394
2025-05-01 01:32:36.052;marcacao de cruzamento rodocicloviario;INSTALADO;16 METROS - VERMELHA E BORDO BRANCO TRACEJADO;2013-01-25;R DONA ADDA MASCARENHAS DE MORAES;590;590.0;NÃO;R SORBONE;PAR;DECRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.052;marcacao de ciclofaixa ao longo da via;INSTALADO;48 METROS - INTERIOR VERMELHO E BORDO BRANCO;2013-03-28;R DONA ADDA MASCARENHAS DE MORAES;106;106.0;NÃO;R VITORIO FRANCISCO GIORDANI;PAR;DECRESCENTE;LEITO DA VIA     ;;
